Format,OpenTRACK,,,,,,
Name,Portaria,,,,,,
Country,Greece,,,,,,
City,Volos,,,,,,
Type,Hillclimb,,,,,,
Config,Open,,,,,,
Direction,Forward,,,,,,
Mirror,On,,,,,,
Export Frequency,20,Hz,,,,,
,,,,,,,
Distance,Speed,Yaw Velocity,Lateral Acceleration,Elevation,Banking,Grip Factor,Sector
km,km/h,deg/s,G,m,deg,,
,,,,,,,
0.63,81.584,-16.102499,-0.646245,404.440002,0,1,1
0.632,82.670006,-15.707847,-0.63223,405,0,1,1
0.635,83.900002,-15.365905,-0.621708,405,0,1,1
0.637,85.289001,-14.951084,-0.61051,405,0,1,1
0.64,86.851997,-14.363458,-0.594469,405,0,1,1
0.642,88.721001,-13.516627,-0.570168,405,0,1,1
0.645,90.802002,-12.378275,-0.535223,405,0,1,1
0.647,93.029999,-10.933504,-0.486309,405,0,1,1
0.65,95.542,-9.298512,-0.426802,405,0,1,1
0.653,98.080002,-7.614933,-0.361999,405,0,1,1
0.656,100.260002,-6.039299,-0.297285,405,0,1,1
0.659,102.32,-4.679097,-0.237798,405,0,1,1
0.662,104.142998,-3.634251,-0.1901,405,0,1,1
0.665,105.566002,-2.929513,-0.155914,405.820007,0,1,1
0.668,106.904999,-2.467479,-0.133073,406,0,1,1
0.671,108.332001,-2.183751,-0.117675,406,0,1,1
0.674,109.592003,-1.965798,-0.106713,406,0,1,1
0.677,111.095001,-1.734093,-0.093348,406,0,1,1
0.68,112.640007,-1.344024,-0.072221,406,0,1,1
0.684,114.185005,-0.806589,-0.041725,406.98999,0,1,1
0.687,115.834,-0.074808,-0.000969,407,0,1,1
0.69,117.555,0.751397,0.047736,407,0,1,1
0.694,118.704002,1.570269,0.098377,407,0,1,1
0.697,119.977005,2.27684,0.141027,407.109985,0,1,1
0.701,120.627998,2.730852,0.170484,408,0,1,1
0.704,120.783005,2.880738,0.184511,408,0,1,1
0.707,120.567001,2.82963,0.185614,408,0,1,1
0.711,119.625999,2.784023,0.184671,408,0,1,1
0.714,117.850006,2.877071,0.191356,408,0,1,1
0.717,115.996002,3.132381,0.203408,408.279999,0,1,1
0.721,114.142006,3.453466,0.21785,409,0,1,1
0.724,111.982002,3.877684,0.235975,409,0,1,1
0.727,109.164001,4.452705,0.261341,409,0,1,1
0.73,106.440002,5.226198,0.294698,409,0,1,1
0.733,104.011002,6.465849,0.349801,409,0,1,1
0.736,101.620003,7.979833,0.418402,409,0,1,1
0.739,99.148003,9.737438,0.494282,409,0,1,1
0.742,96.829002,11.755167,0.574368,409,0,1,1
0.744,94.612,13.770602,0.650324,409.540009,0,1,1
0.747,92.117996,15.612318,0.717447,410,0,1,1
0.75,89.380005,17.290398,0.774347,410,0,1,1
0.752,86.914001,18.875885,0.824855,410,0,1,1
0.754,84.582001,20.554882,0.876191,410.660004,0,1,1
0.757,82.420006,22.459852,0.933984,411,0,1,1
0.759,80.503998,24.607756,0.999883,411,0,1,1
0.761,78.963997,26.957798,1.074093,411,0,1,1
0.764,77.676003,29.495087,1.156951,411,0,1,1
0.766,76.68,31.958117,1.241632,411,0,1,1
0.768,76.001999,34.085163,1.319436,411,0,1,1
0.77,75.470001,35.66584,1.384074,411,0,1,1
0.772,75.518669,36.520691,1.429986,411.890015,0,1,1
0.774,75.656006,36.517025,1.451617,412,0,1,1
0.777,75.793335,36.052471,1.454912,412,0,1,1
0.779,76.094002,35.332153,1.446264,412,0,1,1
0.781,76.300003,34.5158,1.428877,412,0,1,1
0.783,76.797005,33.672867,1.405883,412,0,1,1
0.785,76.688004,33.078365,1.382519,412,0,1,1
0.787,76.473,32.821907,1.363941,412,0,1,1
0.79,76.152008,32.873016,1.350767,412.119995,0,1,1
0.792,75.68,33.153309,1.342616,413,0,1,1
0.794,74.982002,33.546356,1.336708,413,0,1,1
0.796,74.879005,33.861942,1.330131,413,0,1,1
0.798,74.824005,33.966679,1.319564,413,0,1,1
0.8,75.004005,33.777832,1.302624,413.26001,0,1,1
0.803,75.473999,33.186081,1.277061,414,0,1,1
0.805,76.124001,32.186382,1.242856,414,0,1,1
0.807,76.845001,30.950855,1.204349,414,0,1,1
0.809,77.642006,29.751999,1.16797,414.380005,0,1,1
0.811,78.610008,28.717697,1.137627,415,0,1,1
0.814,79.684006,27.907991,1.115391,415,0,1,1
0.816,80.817001,27.354744,1.101861,415,0,1,1
0.818,81.949997,26.975676,1.09492,415.5,0,1,1
